team1,team2,team1_win_rate,team2_win_rate,head_to_head_win_rate,team1_recent_form,team2_recent_form,team1_venue_win_rate,team2_venue_win_rate,team1_avg_runs_last_5,team2_avg_runs_last_5,team1_avg_wicket_last_5,team2_avg_wicket_last_5,avg_first_innings_score,chasing_success_rate,toss_winner,toss_decision,temperature,humidity,rain_probability,venue,pitch_type,win
South Delhi Superstarz,East Delhi Riders,40.0,60.0,0.0,2,4,40.0,60.0,202.6,199.0,6.8,4.4,176.0,38.88888888888889,South Delhi Superstarz,Bat,28.7,85.0,75.0,Arun Jaitley Stadium,Balanced,1
North Delhi Strikers,Central Delhi Kings,40.0,70.0,100.0,3,2,40.0,70.0,153.2,143.2,5.4,7.4,176.0,40.54054054054054,Central Delhi Kings,Bowl,32.1,72.0,89.0,Arun Jaitley Stadium,Balanced,1
Outer Delhi Warriors,New Delhi Tigers,25.0,50.0,0.0,0,0,25.0,50.0,153.2,143.2,6.1,5.9,175.0,42.10526315789473,Outer Delhi Warriors,Bowl,27.7,92.0,89.0,Arun Jaitley Stadium,Balanced,1
East Delhi Riders,West Delhi Lions,60.0,70.0,100.0,5,1,60.0,70.0,199.2,139.0,4.4,8.0,177.0,41.02564102564102,West Delhi Lions,Bowl,32.5,70.0,40.0,Arun Jaitley Stadium,Balanced,1
Central Delhi Kings,New Delhi Tigers,70.0,50.0,0.0,2,1,70.0,50.0,0.0,0.0,0.0,0.0,177.0,42.5,Central Delhi Kings,Bowl,28.6,89.0,40.0,Arun Jaitley Stadium,Balanced,0
Outer Delhi Warriors,Purani Dilli-6,25.0,30.0,0.0,0,3,25.0,30.0,197.8,173.6,4.6,6.6,176.0,43.90243902439025,Outer Delhi Warriors,Bat,30.3,78.0,88.0,Arun Jaitley Stadium,Balanced,0
West Delhi Lions,South Delhi Superstarz,70.0,40.0,0.0,2,1,70.0,40.0,164.4,185.6,7.2,7.0,175.0,42.85714285714285,South Delhi Superstarz,Bat,30.3,78.0,88.0,Arun Jaitley Stadium,Balanced,0
New Delhi Tigers,East Delhi Riders,50.0,60.0,0.0,1,4,50.0,60.0,184.8,192.6,6.2,5.2,176.0,45.45454545454545,New Delhi Tigers,Bat,30.028571428571432,80.57142857142857,72.71428571428571,Arun Jaitley Stadium,Balanced,1
North Delhi Strikers,Outer Delhi Warriors,40.0,25.0,0.0,2,1,40.0,25.0,0.0,0.0,0.0,0.0,176.0,44.18604651162791,North Delhi Strikers,Bat,30.028571428571432,80.57142857142857,72.71428571428572,Arun Jaitley Stadium,Balanced,0
Purani Dilli-6,West Delhi Lions,30.0,70.0,0.0,3,2,30.0,70.0,157.4,166.6,6.8,6.6,175.0,44.44444444444444,West Delhi Lions,Bowl,30.02857142857143,80.57142857142857,72.71428571428572,Arun Jaitley Stadium,Balanced,0
Central Delhi Kings,South Delhi Superstarz,70.0,40.0,0.0,3,1,70.0,40.0,142.6,198.0,5.0,7.4,175.0,43.47826086956522,Central Delhi Kings,Bowl,30.02857142857143,80.57142857142857,72.71428571428574,Arun Jaitley Stadium,Balanced,0
East Delhi Riders,Outer Delhi Warriors,60.0,25.0,0.0,4,1,60.0,25.0,184.5,176.25,4.25,7.5,175.0,44.89795918367347,East Delhi Riders,Bowl,30.028571428571425,80.57142857142857,72.71428571428574,Arun Jaitley Stadium,Balanced,1
New Delhi Tigers,Purani Dilli-6,50.0,30.0,0.0,1,4,50.0,30.0,169.4,153.2,7.8,6.4,175.0,44.89795918367347,New Delhi Tigers,Bowl,30.028571428571425,80.57142857142857,72.71428571428574,Arun Jaitley Stadium,Balanced,1
Purani Dilli-6,North Delhi Strikers,30.0,40.0,0.0,4,2,30.0,40.0,153.2,183.0,6.4,6.0,175.0,47.05882352941176,PURANI DILLI-6,Bowl,30.02857142857142,80.57142857142858,72.71428571428575,Arun Jaitley Stadium,Balanced,1
West Delhi Lions,East Delhi Riders,70.0,60.0,33.33333333333333,2,4,70.0,60.0,173.0,194.6,6.2,4.4,175.0,46.15384615384615,West Delhi Lions,Bowl,30.028571428571425,80.57142857142857,72.71428571428572,Arun Jaitley Stadium,Balanced,1
South Delhi Superstarz,New Delhi Tigers,40.0,50.0,0.0,0,1,40.0,50.0,0.0,0.0,0.0,0.0,175.0,45.28301886792453,South Delhi Superstarz,Bowl,32.2,66.0,25.0,Arun Jaitley Stadium,Balanced,0
North Delhi Strikers,West Delhi Lions,40.0,70.0,50.0,3,2,40.0,70.0,179.6,170.2,6.0,6.0,175.0,46.2962962962963,North Delhi Strikers,Bat,28.7,83.0,25.0,Arun Jaitley Stadium,Balanced,0
Outer Delhi Warriors,Central Delhi Kings,25.0,70.0,0.0,1,4,25.0,70.0,175.6,140.8,7.2,3.8,175.0,45.45454545454545,Outer Delhi Warriors,Bowl,31.3,72.0,55.0,Arun Jaitley Stadium,Balanced,1
Purani Dilli-6,East Delhi Riders,30.0,60.0,0.0,3,4,30.0,60.0,155.4,189.6,7.6,5.0,175.0,44.642857142857146,East Delhi Riders,Bowl,29.1,83.0,55.0,Arun Jaitley Stadium,Balanced,1
Outer Delhi Warriors,South Delhi Superstarz,25.0,40.0,0.0,1,1,25.0,40.0,170.8,162.4,7.6,7.8,175.0,45.614035087719294,South Delhi Superstarz,Bowl,28.6,88.0,88.0,Arun Jaitley Stadium,Balanced,1
West Delhi Lions,New Delhi Tigers,70.0,50.0,0.0,2,1,70.0,50.0,176.8,180.8,5.6,7.6,174.0,46.55172413793103,West Delhi Lions,Bowl,31.9,72.0,89.0,Arun Jaitley Stadium,Balanced,0
Central Delhi Kings,North Delhi Strikers,70.0,40.0,33.33333333333333,5,3,70.0,40.0,144.8,170.8,3.8,7.0,174.0,46.55172413793103,Central Delhi Kings,Bowl,28.8,89.0,89.0,Arun Jaitley Stadium,Balanced,0
South Delhi Superstarz,Purani Dilli-6,40.0,30.0,100.0,2,2,40.0,30.0,155.4,157.2,7.4,8.0,175.0,45.76271186440678,South Delhi Superstarz,Bowl,29.4,82.0,91.0,Arun Jaitley Stadium,Balanced,0
New Delhi Tigers,North Delhi Strikers,50.0,40.0,0.0,0,3,50.0,40.0,164.0,172.6,7.8,8.0,175.0,45.0,North Delhi Strikers,Bowl,28.4,91.0,80.0,Arun Jaitley Stadium,Balanced,1
East Delhi Riders,Purani Dilli-6,60.0,30.0,100.0,4,2,60.0,30.0,192.2,171.6,5.0,8.0,174.0,45.90163934426229,East Delhi Riders,Bowl,29.6,82.0,60.0,Arun Jaitley Stadium,Balanced,0
