team1,team2,team1_win_rate,team2_win_rate,head_to_head_win_rate,team1_recent_form,team2_recent_form,team1_venue_win_rate,team2_venue_win_rate,team1_avg_runs_last_5,team2_avg_runs_last_5,team1_avg_wicket_last_5,team2_avg_wicket_last_5,avg_first_innings_score,chasing_success_rate,toss_winner,toss_decision,temperature,humidity,rain_probability,venue,pitch_type,win
Kandy Royals,Dambulla Sixers,40.0,40.0,0.0,3,4,70.0,33.33333333333333,159.6,151.2,7.6,4.6,163.0,52.94117647058824,Kandy Royals,Bowl,23.0,96.0,78.0,Pallekele International Stadium,Balanced,0
Jaffna Kings,Galle Gallants,70.0,60.0,80.0,1,2,50.0,44.44444444444444,132.2,113.4,7.4,6.4,164.0,50.0,Jaffna Kings,Bat,26.4,80.0,78.0,Pallekele International Stadium,Balanced,1
Colombo Kaps,Kandy Royals,40.0,40.0,0.0,2,4,50.0,70.0,138.8,164.2,8.0,6.8,165.0,52.63157894736842,Kandy Royals,Bowl,23.2,94.0,78.0,Pallekele International Stadium,Balanced,0
Dambulla Sixers,Jaffna Kings,40.0,70.0,0.0,3,1,33.33333333333333,50.0,160.2,142.6,4.8,7.4,166.0,50.0,Jaffna Kings,Bowl,26.4,82.0,78.0,Pallekele International Stadium,Balanced,1
Galle Gallants,Colombo Kaps,60.0,40.0,20.0,3,2,44.44444444444444,50.0,122.6,140.6,5.6,8.8,167.0,52.38095238095239,Colombo Kaps,Bowl,22.5,94.0,78.0,Pallekele International Stadium,Balanced,0
Galle Gallants,Jaffna Kings,60.0,70.0,0.0,3,1,50.0,75.0,140.4,152.0,7.0,7.8,165.0,51.590741559781804,Jaffna Kings,Bowl,23.9,79.0,40.0,Rangiri Dambulla International Stadium,Balanced,1
Kandy Royals,Colombo Kaps,40.0,40.0,0.0,4,2,25.0,33.33333333333333,165.2,145.8,6.8,9.0,187.0,100.0,Kandy Royals,Bowl,25.2,75.0,40.0,Rangiri Dambulla International Stadium,Balanced,1
Dambulla Sixers,Jaffna Kings,40.0,70.0,0.0,2,2,66.66666666666666,75.0,165.2,156.2,4.2,7.6,193.0,100.0,Dambulla Sixers,Bowl,24.1,77.0,40.0,Rangiri Dambulla International Stadium,Balanced,1
Galle Gallants,Kandy Royals,60.0,40.0,20.0,2,3,50.0,25.0,162.8,167.0,7.6,6.8,201.0,100.0,Galle Gallants,Bowl,28.2,65.0,40.0,Rangiri Dambulla International Stadium,Balanced,0
Colombo Kaps,Dambulla Sixers,40.0,40.0,0.0,3,1,33.33333333333333,66.66666666666666,162.4,170.4,8.8,4.4,194.0,75.0,Dambulla Sixers,Bowl,25.3,75.0,40.0,Rangiri Dambulla International Stadium,Balanced,1
Kandy Royals,Jaffna Kings,40.0,70.0,0.0,2,3,25.0,75.0,170.6,182.0,6.8,6.6,192.0,80.0,Kandy Royals,Bowl,25.7,69.0,41.0,Rangiri Dambulla International Stadium,Balanced,0
Dambulla Sixers,Galle Gallants,40.0,60.0,0.0,1,3,66.66666666666666,50.0,178.6,168.8,4.0,6.4,198.0,66.66666666666666,Galle Gallants,Bowl,23.9,77.0,41.0,Rangiri Dambulla International Stadium,Balanced,0
Colombo Kaps,Jaffna Kings,40.0,70.0,0.0,2,3,33.33333333333333,75.0,165.6,201.4,8.2,6.0,192.0,57.14285714285714,Jaffna Kings,Bowl,27.4,66.0,25.0,Rangiri Dambulla International Stadium,Balanced,1
Galle Gallants,Kandy Royals,60.0,40.0,20.0,3,2,50.0,25.0,171.2,186.4,6.8,6.4,192.0,62.5,Galle Gallants,Bowl,25.4,74.0,25.0,Rangiri Dambulla International Stadium,Balanced,0
Jaffna Kings,Kandy Royals,70.0,40.0,20.0,4,1,40.0,60.0,204.0,187.2,5.2,7.4,147.0,45.45454545454545,Jaffna Kings,Bowl,27.8,87.0,90.0,R. Premadasa Stadium,Balanced,0
Dambulla Sixers,Galle Gallants,40.0,60.0,20.0,2,3,60.0,50.0,181.2,173.0,4.8,6.2,145.0,44.11764705882353,Dambulla Sixers,Bowl,28.8,82.0,90.0,R. Premadasa Stadium,Balanced,1
Colombo Kaps,Jaffna Kings,40.0,70.0,0.0,2,4,40.0,40.0,188.4,180.4,7.8,5.2,145.0,45.714285714285715,Colombo Kaps,Bowl,28.3,84.0,90.0,R. Premadasa Stadium,Balanced,0
