team1,team2,team1_win_rate,team2_win_rate,head_to_head_win_rate,team1_recent_form,team2_recent_form,team1_venue_win_rate,team2_venue_win_rate,team1_avg_runs_last_5,team2_avg_runs_last_5,team1_avg_wicket_last_5,team2_avg_wicket_last_5,avg_first_innings_score,chasing_success_rate,toss_winner,toss_decision,temperature,humidity,rain_probability,venue,pitch_type,win
Texas Super Kings,Seattle Orcas,30.0,40.0,60.0,3,3,30.0,30.0,162.2,166.4,4.4,7.6,177.0,53.48837209302325,Texas Super Kings,Bowl,29.7,66.0,25.0,Grand Prairie Stadium,Batting,0
Los Angeles Knight Riders,San Francisco Unicorns,60.0,60.0,25.0,1,1,60.0,60.0,189.6,167.4,4.6,8.0,177.0,53.48837209302325,Los Angeles Knight Riders,Bowl,26.9,71.0,10.0,Grand Prairie Stadium,Balanced,0
Seattle Orcas,Washington Freedom,40.0,70.0,25.0,2,3,30.0,70.0,162.8,117.4,6.6,4.2,177.0,53.48837209302325,Seattle Orcas,Bowl,24.9,89.0,10.0,Grand Prairie Stadium,Batting,0
Texas Super Kings,San Francisco Unicorns,30.0,60.0,40.0,3,1,30.0,60.0,161.8,166.0,4.4,7.6,177.0,55.55555555555556,San Francisco Unicorns,Bowl,32.1,56.0,55.0,Grand Prairie Stadium,Batting,1
Washington Freedom,MI New York,70.0,50.0,80.0,2,4,70.0,50.0,126.8,147.6,5.0,7.0,176.0,56.52173913043478,Washington Freedom,Bowl,27.1,79.0,55.0,Grand Prairie Stadium,Batting,0
Seattle Orcas,Los Angeles Knight Riders,40.0,60.0,40.0,2,2,30.0,60.0,165.4,177.8,6.6,4.4,178.0,55.319148936170215,Los Angeles Knight Riders,Bowl,32.9,52.0,20.0,Grand Prairie Stadium,Batting,1
Texas Super Kings,MI New York,30.0,50.0,80.0,2,3,30.0,50.0,174.8,162.2,5.8,6.4,178.0,54.16666666666666,Mi New York,Bowl,28.9,74.0,20.0,Grand Prairie Stadium,Balanced,1
San Francisco Unicorns,Texas Super Kings,60.0,30.0,80.0,2,2,71.42857142857143,83.33333333333334,163.0,177.0,7.2,6.4,193.0,33.33333333333333,San Francisco Unicorns,Bowl,14.9,81.0,1.0,Oakland Coliseum,Batting,1
Washington Freedom,Seattle Orcas,70.0,40.0,60.0,3,1,57.14285714285714,33.33333333333333,167.0,154.6,5.2,7.4,190.0,30.0,Washington Freedom,Bowl,14.4,70.0,1.0,Oakland Coliseum,Balanced,1
MI New York,Texas Super Kings,50.0,30.0,40.0,4,2,33.33333333333333,83.33333333333334,172.2,171.6,5.2,7.2,193.0,27.27272727272727,Texas Super Kings,Bowl,19.4,67.0,40.0,Oakland Coliseum,Bowling,1
San Francisco Unicorns,Seattle Orcas,60.0,40.0,60.0,1,2,71.42857142857143,33.33333333333333,161.2,183.6,8.0,6.6,188.0,33.33333333333333,San Francisco Unicorns,Bat,15.9,84.0,40.0,Oakland Coliseum,Batting,0
MI New York,Los Angeles Knight Riders,50.0,60.0,100.0,3,3,33.33333333333333,16.666666666666664,171.2,176.6,5.4,5.6,188.0,33.33333333333333,Los Angeles Knight Riders,Bowl,19.9,60.0,4.0,Oakland Coliseum,Batting,1
Washington Freedom,Texas Super Kings,70.0,30.0,75.0,2,3,57.14285714285714,83.33333333333334,177.6,164.8,6.8,7.0,184.0,30.76923076923077,Texas Super Kings,Bat,14.4,78.0,4.0,Oakland Coliseum,Batting,0
Los Angeles Knight Riders,Seattle Orcas,60.0,40.0,60.0,3,2,16.666666666666664,33.33333333333333,166.4,194.4,6.0,6.6,184.0,35.714285714285715,Los Angeles Knight Riders,Bat,22.9,44.0,0.0,Oakland Coliseum,Batting,0
San Francisco Unicorns,Washington Freedom,60.0,70.0,40.0,2,2,71.42857142857143,57.14285714285714,153.0,192.4,7.6,7.8,182.0,33.33333333333333,Washington Freedom,Bat,16.5,75.0,0.0,Oakland Coliseum,Batting,0
Los Angeles Knight Riders,Washington Freedom,60.0,70.0,0.0,3,2,33.33333333333333,100.0,166.0,195.4,6.8,7.6,182.8,42.60785357716493,Los Angeles Knight Riders,Bat,33.7,49.0,5.0,Knight Riders Field,Batting,0
Seattle Orcas,MI New York,40.0,50.0,40.0,3,3,50.0,66.66666666666666,181.2,165.6,7.6,6.0,108.0,100.0,Seattle Orcas,Bowl,26.7,78.0,74.0,Knight Riders Field,Batting,1
Los Angeles Knight Riders,Texas Super Kings,60.0,30.0,25.0,2,2,33.33333333333333,0.0,139.0,157.6,8.2,7.0,120.0,50.0,Los Angeles Knight Riders,Bowl,28.4,77.0,55.0,Knight Riders Field,Bowling,0
Washington Freedom,San Francisco Unicorns,70.0,60.0,60.0,3,3,100.0,50.0,174.2,165.4,6.4,6.0,137.0,66.66666666666666,Washington Freedom,Bowl,27.4,81.0,90.0,Knight Riders Field,Bowling,1
Los Angeles Knight Riders,MI New York,60.0,50.0,0.0,2,3,33.33333333333333,66.66666666666666,143.2,156.0,8.4,6.2,134.0,75.0,Los Angeles Knight Riders,Bowl,30.9,68.0,90.0,Knight Riders Field,Batting,0
Seattle Orcas,Texas Super Kings,40.0,30.0,20.0,2,2,50.0,0.0,162.8,161.8,8.4,6.2,140.0,80.0,Texas Super Kings,Bowl,30.2,68.0,60.0,Knight Riders Field,Batting,0
San Francisco Unicorns,MI New York,60.0,50.0,80.0,3,4,50.0,66.66666666666666,160.6,146.6,6.6,5.8,137.0,66.66666666666666,San Francisco Unicorns,Bowl,32.6,60.0,60.0,Knight Riders Field,Batting,0
